Country,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdi_2022,gii_2016,gii_2017,gii_2018,gii_2019,gii_2020,gii_2021,gii_2022
Afghanistan,0.483,0.485,0.486,0.492,0.488,0.473,0.462,0.688,0.681,0.678,0.676,0.674,0.653,0.665
Albania,0.795,0.796,0.797,0.8,0.784,0.785,0.789,0.161,0.145,0.139,0.131,0.129,0.117,0.116
Algeria,0.738,0.738,0.74,0.742,0.73,0.74,0.745,0.407,0.417,0.405,0.397,0.396,0.457,0.46
Andorra,0.859,0.86,0.863,0.865,0.843,0.855,0.884,,,,,,,
Angola,0.595,0.597,0.598,0.597,0.594,0.59,0.591,0.543,0.547,0.537,0.533,0.529,0.529,0.52
Antigua and Barbuda,0.822,0.824,0.828,0.831,0.82,0.819,0.826,,,,,,,
Argentina,0.848,0.853,0.852,0.853,0.841,0.844,0.849,0.337,0.325,0.303,0.291,0.303,0.296,0.292
Armenia,0.773,0.775,0.781,0.789,0.769,0.774,0.786,0.295,0.254,0.24,0.219,0.223,0.202,0.198
Australia,0.936,0.937,0.941,0.941,0.948,0.949,0.946,0.101,0.096,0.092,0.08,0.074,0.073,0.063
Austria,0.913,0.914,0.917,0.92,0.916,0.92,0.926,0.082,0.072,0.061,0.053,0.052,0.052,0.048
Azerbaijan,0.752,0.754,0.757,0.762,0.722,0.738,0.76,0.328,0.314,0.312,0.317,0.333,0.327,0.329
Bahamas,0.809,0.812,0.814,0.802,0.798,0.799,0.82,0.356,0.333,0.332,0.335,0.331,0.335,0.333
Bahrain,0.862,0.867,0.88,0.888,0.884,0.884,0.888,0.236,0.236,0.203,0.194,0.197,0.192,0.181
Bangladesh,0.613,0.622,0.636,0.646,0.657,0.662,0.67,0.554,0.538,0.531,0.521,0.502,0.5,0.498
Barbados,0.801,0.803,0.804,0.806,0.803,0.803,0.809,0.332,0.333,0.315,0.309,0.296,0.296,0.289
Belarus,0.809,0.811,0.812,0.81,0.8,0.801,0.801,0.117,0.107,0.101,0.098,0.1,0.099,0.096
Belgium,0.927,0.931,0.933,0.936,0.93,0.938,0.942,0.06,0.057,0.053,0.048,0.048,0.048,0.044
Belize,0.72,0.716,0.715,0.718,0.705,0.698,0.7,0.44,0.463,0.466,0.46,0.472,0.455,0.454
Benin,0.508,0.505,0.506,0.506,0.501,0.502,0.504,0.665,0.665,0.658,0.652,0.65,0.644,0.649
Bhutan,0.635,0.644,0.655,0.668,0.675,0.677,0.681,0.411,0.403,0.34,0.332,0.326,0.318,0.334
Bolivia,0.7,0.707,0.712,0.715,0.691,0.691,0.698,0.431,0.428,0.427,0.426,0.428,0.42,0.418
Bosnia and Herzegovina,0.767,0.77,0.774,0.78,0.776,0.776,0.779,0.167,0.162,0.162,0.146,0.137,0.131,0.148
Botswana,0.697,0.705,0.7,0.703,0.701,0.68,0.708,0.473,0.449,0.484,0.458,0.488,0.486,0.483
Brazil,0.753,0.758,0.762,0.764,0.758,0.756,0.76,0.432,0.421,0.4,0.396,0.409,0.405,0.391
Brunei Darussalam,0.83,0.829,0.826,0.827,0.827,0.824,0.823,0.308,0.281,0.283,0.285,0.285,0.283,0.279
Bulgaria,0.81,0.81,0.811,0.813,0.802,0.796,0.799,0.216,0.208,0.21,0.205,0.204,0.209,0.206
Burkina Faso,0.422,0.432,0.443,0.446,0.446,0.445,0.438,0.608,0.597,0.595,0.594,0.627,0.627,0.577
Burundi,0.423,0.422,0.421,0.423,0.419,0.419,0.42,0.508,0.505,0.506,0.499,0.501,0.501,0.499
Cabo Verde,0.664,0.668,0.664,0.667,0.649,0.65,0.661,0.36,0.356,0.365,0.353,0.351,0.326,0.325
Cambodia,0.573,0.581,0.588,0.596,0.596,0.596,0.6,0.49,0.491,0.491,0.492,0.489,0.484,0.486
Cameroon,0.566,0.574,0.581,0.586,0.585,0.581,0.587,0.571,0.572,0.565,0.564,0.558,0.556,0.555
Canada,0.928,0.929,0.93,0.932,0.928,0.934,0.935,0.101,0.096,0.079,0.075,0.075,0.074,0.069
Central African Republic,0.373,0.379,0.386,0.391,0.389,0.387,0.387,,,,,,,
Chad,0.388,0.389,0.393,0.398,0.396,0.393,0.394,,,0.698,0.7,0.697,0.661,0.671
Chile,0.851,0.854,0.856,0.859,0.849,0.856,0.86,0.27,0.252,0.219,0.214,0.22,0.197,0.19
China,0.749,0.757,0.766,0.775,0.781,0.785,0.788,0.214,0.205,0.19,0.187,0.19,0.185,0.186
Colombia,0.763,0.765,0.766,0.768,0.756,0.752,0.758,0.415,0.418,0.409,0.408,0.417,0.416,0.392
Comoros,0.563,0.571,0.578,0.584,0.588,0.585,0.586,,,,,,,
Congo,0.606,0.6,0.603,0.596,0.598,0.598,0.593,0.61,0.603,0.604,0.589,0.584,0.583,0.572
Congo (Democratic Republic of the),0.466,0.469,0.474,0.476,0.477,0.475,0.481,0.641,0.641,0.638,0.618,0.608,0.608,0.605
Costa Rica,0.796,0.8,0.804,0.811,0.811,0.804,0.806,0.277,0.277,0.252,0.239,0.241,0.238,0.232
C�te d'Ivoire,0.506,0.515,0.522,0.529,0.53,0.53,0.534,0.65,0.645,0.64,0.623,0.62,0.613,0.612
Croatia,0.85,0.855,0.86,0.866,0.86,0.867,0.878,0.155,0.128,0.124,0.119,0.095,0.092,0.087
Cuba,0.763,0.764,0.765,0.766,0.759,0.742,0.764,0.308,0.31,0.306,0.307,0.305,0.3,0.3
Cyprus,0.881,0.891,0.896,0.901,0.9,0.901,0.907,0.194,0.211,0.23,0.235,0.235,0.254,0.253
Czechia,0.894,0.896,0.893,0.896,0.891,0.891,0.895,0.138,0.133,0.129,0.124,0.125,0.119,0.113
Denmark,0.943,0.944,0.942,0.946,0.946,0.947,0.952,0.034,0.027,0.022,0.016,0.013,0.013,0.009
Djibouti,0.482,0.491,0.499,0.508,0.512,0.512,0.515,,,,,,,
Dominica,0.728,0.709,0.744,0.745,0.738,0.737,0.74,,,,,,,
Dominican Republic,0.759,0.761,0.763,0.765,0.76,0.756,0.766,0.463,0.46,0.46,0.448,0.441,0.434,0.433
Ecuador,0.761,0.762,0.761,0.758,0.734,0.746,0.765,0.386,0.388,0.39,0.387,0.375,0.372,0.371
Egypt,0.702,0.709,0.717,0.724,0.729,0.726,0.728,0.401,0.392,0.409,0.418,0.398,0.391,0.389
El Salvador,0.664,0.667,0.673,0.676,0.666,0.669,0.674,0.37,0.371,0.369,0.358,0.359,0.371,0.369
Equatorial Guinea,0.65,0.65,0.652,0.653,0.65,0.647,0.65,,,,,,,
Eritrea,0.477,0.472,0.482,0.487,0.49,0.49,0.493,,,,,,,
Estonia,0.884,0.886,0.89,0.893,0.891,0.89,0.899,0.12,0.106,0.103,0.092,0.095,0.099,0.093
Eswatini,0.59,0.601,0.613,0.623,0.622,0.612,0.61,0.528,0.517,0.52,0.521,0.501,0.499,0.491
Ethiopia,0.465,0.472,0.479,0.485,0.489,0.489,0.492,0.521,0.517,0.51,0.506,0.499,0.495,0.494
Fiji,0.721,0.728,0.731,0.73,0.722,0.715,0.729,0.354,0.348,0.334,0.337,0.336,0.329,0.332
Finland,0.931,0.934,0.936,0.939,0.939,0.941,0.942,0.048,0.042,0.037,0.031,0.032,0.033,0.032
France,0.896,0.899,0.903,0.905,0.9,0.906,0.91,0.092,0.073,0.078,0.086,0.084,0.083,0.084
Gabon,0.696,0.699,0.699,0.702,0.704,0.687,0.693,0.532,0.528,0.531,0.527,0.532,0.523,0.524
